trial,D,W,ID,MT,error,subject_id,group_id,device
53,12.0,4.0,2.0,483.339786529541,0,4,1,0
54,3.75,0.25,4.058893689053568,626.6324520111084,1,4,1,0
55,11.25,0.75,4.016012317988631,794.7862148284912,1,4,1,0
56,9.0,3.0,2.0031882776310477,517.9829597473145,0,4,1,0
57,7.5,0.5,4.0636946753173895,683.222770690918,1,4,1,0
58,15.0,1.0,4.026560826271135,715.7876491546631,0,4,1,0
59,1.75,0.25,3.0588936890535683,633.2352161407471,1,4,1,0
0,7.5,0.5,4.0636946753173895,1574.4075775146484,1,4,1,1
1,9.0,3.0,2.0031882776310477,730.5808067321777,0,4,1,1
2,11.25,0.75,4.016012317988631,1008.9271068572998,0,4,1,1
3,14.0,2.0,3.009586048829198,1085.5045318603516,1,4,1,1
4,3.0,1.0,2.019365324866931,880.8639049530029,0,4,1,1
5,15.0,1.0,4.026560826271135,906.9256782531738,0,4,1,1
6,6.0,2.0,2.004800986263821,761.9161605834961,0,4,1,1
7,14.0,2.0,3.009586048829198,465.5239582061768,1,4,1,1
8,7.5,0.5,4.0636946753173895,147.38035202026367,1,4,1,1
9,3.0,1.0,2.019365324866931,234.58456993103027,1,4,1,1
10,6.0,2.0,2.004800986263821,396.35419845581055,1,4,1,1
11,7.0,1.0,3.0241663111307524,1690.4377937316897,0,4,1,1
12,1.75,0.25,3.0588936890535683,1063.8632774353027,1,4,1,1
13,7.5,0.5,4.0636946753173895,1210.0269794464111,0,4,1,1
14,6.0,2.0,2.004800986263821,859.2288494110107,0,4,1,1
15,15.0,1.0,4.026560826271135,1048.2089519500732,0,4,1,1
16,1.75,0.25,3.0588936890535683,1056.070327758789,0,4,1,1
17,14.0,2.0,3.009586048829198,919.3224906921388,0,4,1,1
18,15.0,1.0,4.026560826271135,1081.7441940307615,0,4,1,1
19,12.0,4.0,2.0,809.8433017730713,0,4,1,1
20,3.75,0.25,4.058893689053568,1006.8416595458984,0,4,1,1
21,12.0,4.0,2.0,709.9499702453613,0,4,1,1
22,11.25,0.75,4.016012317988631,1037.53662109375,0,4,1,1
23,3.5,0.5,3.0588936890535683,1223.7215042114258,0,4,1,1
24,3.75,0.25,4.058893689053568,1240.555763244629,1,4,1,1
25,3.0,1.0,2.019365324866931,1122.387409210205,0,4,1,1
26,11.25,0.75,4.016012317988631,969.3553447723388,0,4,1,1
27,3.5,0.5,3.0588936890535683,1092.895746231079,0,4,1,1
28,11.25,0.75,4.016012317988631,912.867307662964,0,4,1,1
29,9.0,3.0,2.0031882776310477,922.2455024719238,0,4,1,1
30,9.0,3.0,2.0031882776310477,880.000114440918,0,4,1,1
31,11.25,0.75,4.016012317988631,1103.7583351135254,0,4,1,1
32,15.0,1.0,4.026560826271135,910.4149341583252,0,4,1,1
33,7.5,0.5,4.0636946753173895,1325.3931999206543,0,4,1,1
34,3.75,0.25,4.058893689053568,1057.4102401733398,1,4,1,1
35,12.0,4.0,2.0,728.9419174194336,0,4,1,1
36,3.75,0.25,4.058893689053568,1808.0453872680664,0,4,1,1
37,7.0,1.0,3.0241663111307524,993.3633804321288,0,4,1,1
38,1.75,0.25,3.0588936890535683,1120.1038360595703,0,4,1,1
39,7.5,0.5,4.0636946753173895,1510.6496810913086,0,4,1,1
40,15.0,1.0,4.026560826271135,1027.437448501587,0,4,1,1
41,9.0,3.0,2.0031882776310477,848.0565547943115,0,4,1,1
42,7.0,1.0,3.0241663111307524,1035.3608131408691,0,4,1,1
43,1.75,0.25,3.0588936890535683,1234.7538471221924,1,4,1,1
44,14.0,2.0,3.009586048829198,962.4111652374268,1,4,1,1
45,6.0,2.0,2.004800986263821,836.9085788726807,0,4,1,1
46,3.75,0.25,4.058893689053568,1436.80739402771,0,4,1,1
47,3.5,0.5,3.0588936890535683,1406.0351848602295,0,4,1,1
48,1.75,0.25,3.0588936890535683,1424.2873191833496,0,4,1,1
49,3.0,1.0,2.019365324866931,797.8255748748779,0,4,1,1
50,3.5,0.5,3.0588936890535683,1042.7303314208984,0,4,1,1
51,3.5,0.5,3.0588936890535683,1026.6852378845217,0,4,1,1
